time_sec,odom_total_distance,coverage_proxy,coverage_gain,frontier_count,active_path_update_count,position_cmd_update_count,goal_reselect_count,coverage_stall_event_count
30.023939609527588,1.547822153836658,0.08754233544396996,0.08754233544396996,99,4,4,2,0
60.02476716041565,4.384274756730878,0.09674569282874393,0.09674569282874393,103,12,12,4,0
90.05775856971741,9.412304006383643,0.1147842733029009,0.1147842733029009,112,38,38,5,0
120.05787515640259,19.10942756959834,0.14128994257104993,0.14128994257104993,132,66,66,6,0
150.0581431388855,29.180064412744418,0.14173170372551908,0.14173170372551908,135,93,93,8,1
180.0828218460083,41.92135199895504,0.1423207185981446,0.1423207185981446,136,123,123,11,1
210.0849642753601,50.18410554112057,0.1504932999558239,0.1504932999558239,137,146,146,15,1
240.08653664588928,55.987632853646105,0.17854513326461494,0.17854513326461494,157,170,170,18,1
270.0907371044159,64.52863055564478,0.20217935502871448,0.20217935502871448,184,198,198,19,1
300.02470302581787,70.44073158711846,0.20416728022382566,0.20416728022382566,184,221,221,21,2
